id,city,date,time,severity,weather_condition,road_condition,num_vehicles,latitude,longitude
160,Chicago,2022-01-18,13:31,Medium,Clear,Dry,4,26.8153,-90.6724
161,New York,2022-01-05,15:20,Low,Clear,Dry,4,28.8328,-98.9168
162,Charlotte,2023-07-05,03:55,Medium,Clear,Wet,1,26.7259,-88.8493
163,San Diego,2023-01-15,14:47,High,Clear,Wet,4,25.8004,-118.5039
164,New York,2023-01-21,11:36,Low,Clear,Dry,4,42.5509,-92.1561
165,San Diego,2023-12-21,11:20,Low,Clear,Wet,4,36.9081,-74.4958
166,Dallas,2021-08-30,09:16,Low,Rain,Wet,4,29.6041,-114.9421
167,Dallas,2021-06-01,13:57,High,Snow,Under Construction,3,40.3603,-85.1039
168,Los Angeles,2022-08-18,20:54,Medium,Fog,Dry,3,36.7014,-115.6892
169,Austin,2022-02-16,19:15,Low,Rain,Dry,5,27.9847,-76.0192
170,Dallas,2021-05-15,10:45,Medium,Fog,Icy,1,27.8825,-105.5146
171,Phoenix,2021-06-01,13:43,Low,Snow,Wet,5,29.1852,-71.7542
172,New York,2023-06-06,14:55,Low,Clear,Dry,3,46.499,-110.2755
173,New York,2023-11-29,20:54,Low,Hail,Dry,3,39.1319,-117.1417
174,Los Angeles,2021-12-12,16:37,Medium,Fog,Wet,5,25.9475,-77.0834
175,San Jose,2021-06-16,04:41,Low,Clear,Wet,5,39.6968,-96.102
176,Phoenix,2022-08-17,17:19,High,Rain,Dry,1,40.8381,-113.7798
177,Chicago,2023-05-02,13:13,Low,Snow,Dry,3,47.4336,-115.2002
178,Chicago,2023-01-29,14:06,Medium,Clear,Dry,1,26.1639,-72.84
179,Columbus,2023-05-07,09:55,High,Cloudy,Wet,2,42.5518,-96.0902
180,Chicago,2023-11-21,13:56,Low,Cloudy,Wet,2,29.9483,-103.6495
181,Columbus,2021-04-14,09:38,Medium,Rain,Wet,1,34.9113,-76.1123
182,New York,2023-01-20,18:23,Low,Rain,Dry,3,26.6912,-95.7787
183,Dallas,2022-07-27,19:39,Low,Hail,Dry,3,37.8301,-102.9885
184,Houston,2021-10-23,08:32,Low,Clear,Wet,4,36.9447,-114.2551
185,San Antonio,2023-11-22,07:59,Low,Windy,Wet,3,38.6557,-95.6196
186,Philadelphia,2023-11-10,14:45,Medium,Clear,Dry,1,47.5377,-91.6475
187,Indianapolis,2021-02-24,16:16,Medium,Fog,Wet,1,38.421,-113.1334
188,Los Angeles,2023-02-18,07:43,Medium,Fog,Dry,4,32.2149,-114.1256
189,San Antonio,2022-02-22,12:49,Medium,Snow,Wet,2,36.9297,-92.8339
190,Indianapolis,2023-09-07,14:20,Medium,Rain,Wet,3,39.0318,-112.0023
191,Los Angeles,2022-05-20,09:19,High,Clear,Dry,2,40.8755,-96.5718
192,Charlotte,2023-09-10,11:59,Medium,Clear,Wet,5,33.733,-71.0317
193,New York,2022-12-08,22:51,Low,Hail,Dry,4,40.0874,-83.1384
194,Los Angeles,2022-03-15,08:34,Medium,Clear,Dry,5,30.5035,-119.3602
195,New York,2023-12-24,08:14,Medium,Fog,Dry,2,25.1192,-93.3817
196,Columbus,2021-11-20,12:59,Medium,Rain,Icy,3,32.3869,-88.4133
197,Philadelphia,2021-07-03,17:14,Medium,Cloudy,Slippery,2,34.6114,-78.4445
198,San Jose,2021-03-16,23:25,Low,Fog,Slippery,3,45.1651,-121.5181
199,Los Angeles,2021-08-08,21:21,High,Rain,Dry,2,44.5744,-97.6629
200,Los Angeles,2022-01-30,19:21,Medium,Clear,Dry,3,43.1877,-92.4754
201,San Diego,2022-01-31,07:54,Medium,Clear,Dry,4,40.3929,-112.3914
202,Los Angeles,2021-10-15,13:59,Low,Clear,Icy,3,31.9448,-84.4101
203,Dallas,2021-01-24,09:23,Low,Clear,Dry,4,40.7797,-73.9985
204,Charlotte,2022-09-29,17:40,Low,Rain,Dry,2,35.9982,-98.3411
205,Charlotte,2023-02-05,12:35,Medium,Snow,Icy,2,40.6479,-91.0176
206,Dallas,2021-06-17,14:33,Low,Rain,Dry,5,45.7664,-111.4878
207,Phoenix,2021-11-03,07:54,Low,Clear,Wet,1,45.6745,-98.8349
208,Houston,2021-04-24,13:32,Medium,Rain,Wet,3,41.6354,-101.4107
209,New York,2021-01-07,18:37,Medium,Fog,Wet,1,46.4954,-118.411
210,Los Angeles,2023-08-25,02:26,Low,Rain,Wet,4,33.6126,-75.6507
211,Chicago,2023-07-08,20:58,Low,Hail,Slippery,2,40.0313,-103.916
212,Phoenix,2022-01-01,23:25,Medium,Clear,Dry,1,47.5053,-97.9238
213,Los Angeles,2023-05-19,14:52,Medium,Clear,Dry,1,25.741,-87.6697
214,New York,2021-02-02,09:04,Low,Rain,Wet,1,30.6289,-119.6997
215,San Jose,2023-06-18,08:13,Medium,Clear,Under Construction,2,43.7631,-83.9611
216,San Diego,2022-10-16,15:49,Low,Clear,Dry,5,30.084,-106.374
217,Columbus,2021-05-05,15:37,High,Rain,Dry,4,26.0783,-104.0904
218,Dallas,2023-02-20,19:20,Medium,Clear,Dry,5,35.8909,-77.8343
219,Austin,2022-09-08,20:09,High,Rain,Under Construction,5,37.1898,-101.8022
220,New York,2022-06-07,08:41,Medium,Clear,Wet,2,26.1853,-102.3873
221,Austin,2021-03-22,20:12,Medium,Rain,Dry,2,44.9979,-104.6859
222,Indianapolis,2021-02-01,08:12,Low,Windy,Dry,2,40.9994,-85.404
223,Chicago,2023-03-24,21:35,Low,Rain,Wet,3,31.0159,-95.3335
224,Indianapolis,2023-10-16,13:51,Medium,Snow,Slippery,3,32.1972,-119.6228
225,Los Angeles,2022-03-30,18:01,High,Rain,Dry,2,29.5124,-110.039
226,Charlotte,2022-05-19,13:41,Low,Fog,Dry,4,35.5991,-83.8958
227,Philadelphia,2022-12-23,07:46,Low,Cloudy,Under Construction,1,37.0507,-78.3684
228,New York,2021-06-02,21:42,Low,Clear,Wet,1,41.2649,-121.5246
229,San Antonio,2023-11-02,13:03,Medium,Rain,Dry,4,25.3618,-94.325
230,Dallas,2023-04-23,01:33,Medium,Clear,Wet,4,43.5419,-74.6918
231,New York,2021-08-08,21:33,Low,Rain,Icy,3,43.2835,-117.891
232,Indianapolis,2023-04-12,13:15,Low,Rain,Icy,1,27.1505,-102.2783
233,Dallas,2023-09-02,05:00,Low,Snow,Wet,3,38.0147,-77.3861
234,New York,2021-07-15,20:58,Low,Snow,Slippery,4,31.2352,-73.9437
235,San Diego,2022-07-29,20:36,Low,Snow,Dry,2,38.5018,-82.8828
236,Los Angeles,2023-03-27,21:19,Low,Snow,Dry,5,32.6298,-82.7083
237,Dallas,2021-10-14,19:44,Medium,Hail,Dry,4,30.3393,-118.0471
238,New York,2023-03-24,22:20,Low,Windy,Dry,3,37.7199,-102.4778
239,Chicago,2022-01-16,17:42,Medium,Clear,Dry,1,26.8869,-113.9805
240,Chicago,2021-11-12,18:20,Low,Cloudy,Dry,3,27.3513,-117.4605
241,Phoenix,2023-06-02,13:35,Low,Clear,Wet,5,38.755,-105.1296
242,Chicago,2023-02-28,01:26,Low,Cloudy,Slippery,2,38.1551,-113.1817
243,Chicago,2023-02-19,07:17,Medium,Clear,Dry,4,31.8943,-81.3013
244,Dallas,2023-01-10,09:15,Medium,Rain,Dry,2,32.0071,-72.6612
245,Austin,2022-11-12,19:24,Low,Clear,Icy,5,28.1309,-105.3254
246,Indianapolis,2022-02-16,13:11,High,Clear,Wet,4,47.2586,-81.3373
247,San Jose,2022-10-30,11:52,Low,Cloudy,Dry,5,29.1383,-82.0839
248,Charlotte,2021-02-25,22:29,Low,Fog,Icy,1,43.8362,-80.6258
249,San Diego,2023-04-18,17:08,Low,Rain,Wet,4,26.7012,-70.4836
250,Phoenix,2023-09-09,15:34,High,Rain,Wet,3,41.1376,-79.7606
251,San Diego,2021-06-24,06:15,Low,Rain,Dry,4,47.2367,-104.757
252,Los Angeles,2023-06-01,06:06,Medium,Rain,Wet,5,30.0837,-102.5458
253,Dallas,2023-08-07,18:37,Low,Windy,Dry,3,34.5674,-71.9902
254,New York,2021-08-26,19:46,Low,Rain,Dry,4,33.0109,-116.9236
255,New York,2023-07-16,10:19,Medium,Clear,Dry,1,40.5742,-113.4536
256,Los Angeles,2022-05-15,14:35,Medium,Hail,Dry,4,39.4845,-112.3079
257,San Antonio,2023-06-05,12:47,Low,Rain,Dry,2,29.733,-82.8791
258,Columbus,2021-05-09,15:51,Low,Clear,Dry,3,40.4261,-96.5468
259,Houston,2022-10-04,16:39,Low,Clear,Dry,2,43.716,-85.2886
260,New York,2022-09-02,21:37,Low,Clear,Dry,2,33.586,-114.6494
261,Philadelphia,2023-03-07,12:08,Medium,Rain,Wet,2,37.763,-96.5386
262,Houston,2021-10-15,08:53,Low,Clear,Dry,2,29.488,-102.0349
263,Dallas,2023-11-02,17:26,Medium,Snow,Dry,1,38.0041,-80.6142
264,Los Angeles,2022-03-28,10:17,Low,Fog,Wet,4,37.6437,-116.113
265,Austin,2021-08-22,09:34,Low,Snow,Dry,4,37.5661,-70.5317
266,San Jose,2021-07-29,18:41,Low,Windy,Dry,3,44.8306,-117.4769
267,Los Angeles,2021-08-29,18:15,Medium,Rain,Slippery,5,39.5537,-113.369
268,Los Angeles,2021-10-13,19:52,Low,Clear,Dry,5,28.8727,-71.092
269,Indianapolis,2022-08-23,10:17,Medium,Cloudy,Icy,2,47.1438,-81.1441
270,San Diego,2021-05-02,23:55,Medium,Clear,Dry,3,44.0551,-82.4034
271,San Diego,2023-03-16,13:36,Medium,Clear,Dry,1,34.2656,-83.0103
272,Chicago,2023-01-26,13:31,Low,Fog,Wet,4,39.6013,-85.741
273,Los Angeles,2021-05-10,19:25,Medium,Clear,Dry,3,32.7684,-91.9475
274,Dallas,2023-09-21,19:57,Low,Clear,Icy,4,25.3745,-73.6695
275,Indianapolis,2021-11-20,12:00,Medium,Windy,Slippery,3,28.6565,-73.4983
276,Los Angeles,2022-07-16,06:23,Low,Cloudy,Dry,4,39.3889,-84.2486
277,Dallas,2022-04-25,12:05,Low,Rain,Dry,2,36.9472,-98.8565
278,New York,2021-01-17,17:52,High,Rain,Dry,2,33.8106,-84.0003
279,Columbus,2021-07-29,06:23,Low,Fog,Icy,2,39.7563,-86.7889
280,San Antonio,2021-05-21,14:00,Low,Clear,Dry,2,46.1576,-89.964
281,Columbus,2023-06-26,20:05,Low,Clear,Wet,3,47.1547,-105.6458
282,New York,2021-10-14,09:41,Medium,Rain,Wet,1,44.5015,-87.7629
283,Phoenix,2022-09-10,08:38,Medium,Clear,Dry,2,36.3824,-116.1373
284,Phoenix,2023-10-21,16:04,High,Windy,Slippery,2,33.8973,-78.3734
285,Los Angeles,2023-05-12,11:43,Medium,Windy,Dry,5,26.5532,-108.3664
286,Houston,2021-03-23,21:50,Low,Fog,Icy,4,41.1416,-117.7138
287,New York,2021-11-09,09:19,High,Hail,Dry,3,33.9868,-89.0167
288,Dallas,2021-05-16,10:27,High,Clear,Dry,4,27.6677,-90.1606
289,San Diego,2021-04-23,10:47,Low,Clear,Dry,1,28.7682,-72.4432
290,Dallas,2023-12-08,14:52,Low,Clear,Icy,3,41.8575,-115.8611
291,Los Angeles,2021-03-02,11:27,Low,Fog,Wet,1,36.4114,-95.4393
292,Los Angeles,2021-04-24,13:36,Low,Fog,Slippery,1,30.2533,-95.5411
293,Los Angeles,2021-04-01,20:00,Medium,Clear,Dry,1,37.7159,-74.4747
294,Houston,2023-05-09,08:15,Medium,Clear,Dry,3,27.7462,-86.9871
295,Phoenix,2021-04-18,07:51,Low,Clear,Slippery,3,42.7911,-105.8437
296,Chicago,2021-06-26,15:00,Low,Fog,Wet,2,35.6703,-91.2321
297,Los Angeles,2023-10-08,23:49,High,Fog,Dry,1,46.4451,-120.7567
298,Columbus,2022-12-11,16:44,High,Clear,Wet,3,27.3908,-94.4496
299,Indianapolis,2022-05-03,12:03,Low,Clear,Dry,2,45.6376,-94.9725
300,New York,2023-02-02,13:47,Low,Clear,Icy,1,38.6136,-118.7613
301,Jacksonville,2021-09-25,08:16,High,Clear,Icy,3,32.3153,-107.8583
302,San Jose,2021-06-02,21:08,Medium,Clear,Dry,4,32.2228,-115.7217
303,Houston,2023-01-04,22:13,Medium,Snow,Dry,3,44.0069,-85.7623
304,Chicago,2021-03-24,08:54,Low,Clear,Dry,5,26.1259,-106.4603
305,Jacksonville,2021-12-23,02:25,Medium,Rain,Dry,1,43.4896,-114.7308
306,Indianapolis,2021-01-25,05:49,Low,Snow,Dry,1,38.3934,-108.5413
307,Los Angeles,2021-06-03,02:04,Medium,Snow,Dry,3,27.8181,-73.0014
308,Houston,2021-04-14,07:36,Medium,Rain,Dry,4,28.9746,-110.8348
309,Columbus,2022-01-19,09:28,Low,Rain,Dry,3,36.4745,-76.0955
310,Chicago,2023-09-09,05:17,Medium,Rain,Icy,2,39.5074,-80.2873
311,Dallas,2021-02-09,23:50,Medium,Fog,Dry,5,36.555,-101.8042
312,Los Angeles,2022-01-04,02:38,High,Fog,Dry,4,37.1769,-82.1242
313,Los Angeles,2022-04-22,22:06,Low,Rain,Icy,1,42.5731,-72.7143
314,Indianapolis,2023-03-07,11:53,Low,Clear,Dry,3,46.0215,-120.5333
315,New York,2022-12-22,22:36,High,Snow,Icy,4,37.4689,-112.871
316,San Antonio,2021-03-19,06:14,Low,Rain,Dry,5,29.6337,-115.2145
317,Jacksonville,2021-12-30,21:54,Low,Clear,Wet,2,42.8104,-77.983
318,Dallas,2023-01-18,22:23,Medium,Rain,Dry,3,28.1384,-113.8098
319,San Diego,2023-06-14,19:31,Low,Hail,Wet,5,43.1008,-110.3917
320,Dallas,2021-12-26,11:46,Low,Fog,Slippery,5,34.0068,-70.2973
321,Charlotte,2021-03-08,07:20,High,Clear,Wet,4,28.2348,-83.2421
322,Los Angeles,2022-05-03,11:20,High,Clear,Wet,3,35.2725,-108.209
323,Los Angeles,2022-05-27,17:22,Low,Clear,Dry,4,47.2893,-76.0033
324,Philadelphia,2023-10-07,20:22,Low,Rain,Slippery,2,28.7411,-118.1671
325,Los Angeles,2021-03-10,10:20,Low,Clear,Slippery,2,41.8357,-93.5536
326,Columbus,2021-07-10,11:39,Medium,Clear,Wet,5,45.4643,-113.8306
