id,city,date,time,severity,weather_condition,road_condition,num_vehicles,latitude,longitude,hour,month,year,month_year,period
39,Columbus,2022-11-10,21:07,Low,Rain,Under Construction,1,27.4933,-99.4027,21,11,2022,2022-11,Night
40,New York,2022-10-05,12:32,High,Clear,Dry,4,25.0389,-73.8701,12,10,2022,2022-10,Day
41,Charlotte,2022-02-08,11:04,High,Rain,Wet,1,41.5543,-106.3832,11,2,2022,2022-02,Day
42,Houston,2022-09-26,17:20,Low,Clear,Dry,4,40.5783,-75.0541,17,9,2022,2022-09,Day
43,New York,2022-09-09,12:53,Low,Clear,Wet,3,35.6947,-99.0077,12,9,2022,2022-09,Day
44,Columbus,2022-03-14,14:50,Medium,Clear,Dry,5,40.2686,-89.7984,14,3,2022,2022-03,Day
45,Los Angeles,2021-07-11,19:48,Low,Snow,Dry,1,30.6314,-97.2929,19,7,2021,2021-07,Night
46,San Antonio,2021-05-30,13:56,Low,Rain,Dry,2,28.3941,-86.2436,13,5,2021,2021-05,Day
47,Los Angeles,2021-08-07,18:14,High,Rain,Dry,2,46.1018,-115.6894,18,8,2021,2021-08,Night
48,Philadelphia,2021-10-01,19:42,Medium,Clear,Icy,4,39.091,-84.5978,19,10,2021,2021-10,Night
49,Philadelphia,2023-10-31,12:58,High,Fog,Dry,3,42.2909,-78.3271,12,10,2023,2023-10,Day
50,Phoenix,2022-07-22,18:33,Low,Clear,Wet,2,31.2494,-105.3751,18,7,2022,2022-07,Night
51,Chicago,2021-06-15,07:14,Low,Clear,Dry,3,37.4801,-100.3797,7,6,2021,2021-06,Day
52,Columbus,2022-02-28,19:24,Medium,Rain,Slippery,5,33.7488,-121.6934,19,2,2022,2022-02,Night
53,Jacksonville,2022-12-22,10:24,High,Clear,Wet,5,43.397,-75.3138,10,12,2022,2022-12,Day
54,Phoenix,2023-09-27,08:27,Low,Rain,Icy,2,44.3316,-74.1838,8,9,2023,2023-09,Day
55,San Antonio,2023-12-30,02:25,Medium,Clear,Dry,4,29.1798,-108.4719,2,12,2023,2023-12,Night
56,Chicago,2022-11-02,08:20,High,Clear,Under Construction,4,30.8022,-117.7409,8,11,2022,2022-11,Day
57,Indianapolis,2021-02-09,18:03,Low,Rain,Icy,1,42.3474,-72.6202,18,2,2021,2021-02,Night
58,Los Angeles,2022-02-13,19:39,Low,Rain,Wet,2,35.6958,-108.6753,19,2,2022,2022-02,Night
59,Indianapolis,2023-01-26,07:38,Medium,Fog,Dry,3,27.4863,-120.6647,7,1,2023,2023-01,Day
60,Indianapolis,2022-10-01,15:58,Low,Fog,Dry,2,27.3437,-81.831,15,10,2022,2022-10,Day
61,San Jose,2021-09-05,19:36,Low,Clear,Dry,5,39.8935,-121.3421,19,9,2021,2021-09,Night
62,Houston,2023-05-11,19:06,Low,Cloudy,Dry,2,35.0162,-83.8426,19,5,2023,2023-05,Night
63,Philadelphia,2022-07-08,16:58,Medium,Clear,Wet,3,32.413,-109.2343,16,7,2022,2022-07,Day
64,Los Angeles,2021-06-27,09:28,Medium,Rain,Dry,1,36.369,-105.0993,9,6,2021,2021-06,Day
65,Los Angeles,2023-09-26,08:51,Low,Rain,Slippery,5,25.2335,-72.7007,8,9,2023,2023-09,Day
66,Phoenix,2021-06-25,09:26,Medium,Rain,Wet,4,35.308,-121.1034,9,6,2021,2021-06,Day
67,Los Angeles,2022-08-26,08:44,Medium,Clear,Wet,3,34.7866,-83.2114,8,8,2022,2022-08,Day
68,Los Angeles,2022-11-09,11:29,Low,Clear,Dry,1,42.0863,-72.5544,11,11,2022,2022-11,Day
69,Phoenix,2022-01-15,08:47,Medium,Hail,Wet,3,47.5517,-78.7033,8,1,2022,2022-01,Day
70,Chicago,2022-08-30,08:11,Medium,Clear,Dry,1,37.7273,-85.7343,8,8,2022,2022-08,Day
71,Phoenix,2021-09-16,16:48,High,Rain,Dry,4,32.8362,-71.7941,16,9,2021,2021-09,Day
72,New York,2022-06-02,21:30,Low,Rain,Wet,1,28.4897,-79.8206,21,6,2022,2022-06,Night
73,New York,2022-09-15,06:15,Medium,Rain,Icy,2,42.841,-102.2203,6,9,2022,2022-09,Day
74,Indianapolis,2023-06-26,10:37,Low,Rain,Wet,1,46.7946,-111.195,10,6,2023,2023-06,Day
75,Los Angeles,2022-03-09,09:05,Low,Clear,Dry,4,40.8555,-97.5646,9,3,2022,2022-03,Day
76,Los Angeles,2021-03-08,08:45,High,Clear,Dry,3,43.12,-89.497,8,3,2021,2021-03,Day
77,Los Angeles,2022-02-10,12:34,Low,Clear,Dry,1,28.8162,-106.0042,12,2,2022,2022-02,Day
78,Dallas,2022-08-15,12:29,Medium,Cloudy,Wet,4,35.0685,-90.9021,12,8,2022,2022-08,Day
79,Los Angeles,2023-06-04,18:38,Low,Hail,Icy,5,38.5038,-120.9212,18,6,2023,2023-06,Night
80,San Jose,2022-07-06,15:48,Medium,Rain,Slippery,2,47.9297,-99.334,15,7,2022,2022-07,Day
81,Chicago,2023-10-05,22:30,Low,Rain,Slippery,3,34.4678,-96.2356,22,10,2023,2023-10,Night
82,New York,2023-04-01,19:35,Low,Clear,Dry,4,44.8929,-79.1038,19,4,2023,2023-04,Night
83,Houston,2021-01-03,17:34,Low,Rain,Wet,4,39.3844,-82.4805,17,1,2021,2021-01,Day
84,Charlotte,2022-02-21,09:08,Medium,Rain,Dry,5,43.3842,-85.0913,9,2,2022,2022-02,Day
85,Houston,2022-09-29,15:35,Low,Snow,Dry,1,39.8973,-113.9935,15,9,2022,2022-09,Day
86,Houston,2022-08-21,14:17,Medium,Rain,Dry,2,33.8225,-74.0629,14,8,2022,2022-08,Day
87,Jacksonville,2023-11-07,18:08,Low,Fog,Dry,5,31.145,-121.8666,18,11,2023,2023-11,Night
88,Indianapolis,2022-09-04,19:37,Medium,Clear,Wet,3,32.6461,-82.3306,19,9,2022,2022-09,Night
89,Jacksonville,2023-02-12,13:20,High,Clear,Dry,4,26.0039,-83.2753,13,2,2023,2023-02,Day
90,Austin,2023-02-20,12:42,Medium,Clear,Under Construction,2,36.5527,-91.3106,12,2,2023,2023-02,Day
91,New York,2021-07-25,20:28,High,Clear,Dry,2,26.721,-81.3607,20,7,2021,2021-07,Night
92,Houston,2022-06-27,11:44,Low,Clear,Wet,5,33.7402,-105.5336,11,6,2022,2022-06,Day
93,San Antonio,2023-09-27,20:02,Low,Rain,Dry,2,42.1756,-99.4335,20,9,2023,2023-09,Night
94,Columbus,2021-07-21,18:45,Medium,Rain,Slippery,1,32.4606,-119.0818,18,7,2021,2021-07,Night
95,Los Angeles,2023-01-05,11:09,Medium,Rain,Dry,2,26.8163,-76.7163,11,1,2023,2023-01,Day
96,New York,2022-05-09,13:37,Medium,Clear,Dry,1,45.6749,-97.8068,13,5,2022,2022-05,Day
97,New York,2022-08-13,17:10,High,Windy,Dry,4,40.8772,-98.2445,17,8,2022,2022-08,Day
98,Jacksonville,2022-09-11,08:24,Low,Clear,Dry,3,47.8319,-106.648,8,9,2022,2022-09,Day
99,Jacksonville,2023-03-22,09:36,Medium,Hail,Slippery,4,44.1553,-75.0474,9,3,2023,2023-03,Day
100,Los Angeles,2022-04-17,16:22,Low,Clear,Icy,2,39.4497,-75.023,16,4,2022,2022-04,Day
101,New York,2021-03-22,10:28,Low,Clear,Slippery,3,42.1921,-112.8667,10,3,2021,2021-03,Day
102,Indianapolis,2021-09-28,19:56,Medium,Cloudy,Icy,3,46.0231,-72.9022,19,9,2021,2021-09,Night
103,Austin,2022-08-28,18:21,Medium,Clear,Icy,2,44.7832,-84.3407,18,8,2022,2022-08,Night
104,Philadelphia,2023-03-25,22:51,Low,Clear,Dry,1,35.4601,-87.0129,22,3,2023,2023-03,Night
105,San Diego,2022-06-21,15:52,Low,Rain,Dry,5,45.3374,-92.8068,15,6,2022,2022-06,Day
106,Austin,2022-03-30,17:40,High,Clear,Dry,2,26.043,-120.065,17,3,2022,2022-03,Day
107,Columbus,2023-10-06,06:15,Low,Rain,Wet,5,34.6399,-83.402,6,10,2023,2023-10,Day
108,New York,2021-11-13,20:41,Medium,Clear,Under Construction,1,40.8765,-110.702,20,11,2021,2021-11,Night
109,Chicago,2023-06-30,22:54,High,Clear,Slippery,3,26.3927,-107.6542,22,6,2023,2023-06,Night
110,Houston,2021-09-08,22:52,Medium,Rain,Wet,1,26.1633,-104.6575,22,9,2021,2021-09,Night
111,New York,2021-09-15,19:13,Medium,Clear,Dry,2,32.5569,-114.3272,19,9,2021,2021-09,Night
112,Indianapolis,2021-01-06,09:09,Medium,Fog,Dry,1,28.0315,-103.3714,9,1,2021,2021-01,Day
113,Los Angeles,2022-05-03,16:01,Low,Fog,Wet,1,35.9537,-81.5431,16,5,2022,2022-05,Day
114,Phoenix,2023-11-18,16:28,High,Clear,Icy,5,31.9375,-88.5463,16,11,2023,2023-11,Day
115,Jacksonville,2021-03-05,05:30,Medium,Clear,Wet,4,26.6903,-117.7989,5,3,2021,2021-03,Night
116,San Antonio,2021-10-31,05:17,Medium,Fog,Dry,5,37.2028,-98.4068,5,10,2021,2021-10,Night
117,New York,2023-06-01,06:44,Medium,Snow,Wet,2,34.8916,-75.8193,6,6,2023,2023-06,Day
118,Houston,2023-04-28,11:29,Medium,Clear,Dry,3,33.6089,-114.0628,11,4,2023,2023-04,Day
119,New York,2023-08-30,05:53,Medium,Fog,Dry,2,37.7965,-91.5038,5,8,2023,2023-08,Night
120,Chicago,2022-11-07,17:26,Medium,Fog,Slippery,1,47.2732,-90.7787,17,11,2022,2022-11,Day
121,Los Angeles,2022-12-22,06:32,Medium,Clear,Dry,5,33.4539,-82.3445,6,12,2022,2022-12,Day
122,Philadelphia,2022-04-09,19:54,Medium,Rain,Wet,5,25.6038,-73.6876,19,4,2022,2022-04,Night
123,Dallas,2022-07-02,02:17,Low,Clear,Dry,2,38.0254,-101.1592,2,7,2022,2022-07,Night
124,New York,2021-10-18,18:01,Medium,Clear,Dry,2,33.5112,-84.477,18,10,2021,2021-10,Night
125,Los Angeles,2021-06-23,20:09,Medium,Rain,Dry,4,36.1702,-99.0137,20,6,2021,2021-06,Night
126,New York,2022-07-14,08:32,Medium,Clear,Wet,4,37.1195,-105.9622,8,7,2022,2022-07,Day
127,New York,2022-03-28,12:38,Low,Cloudy,Icy,3,31.6573,-115.7608,12,3,2022,2022-03,Day
128,New York,2023-10-16,18:11,Medium,Clear,Wet,3,26.6577,-77.1883,18,10,2023,2023-10,Night
129,Charlotte,2021-03-28,12:29,High,Rain,Wet,4,31.6588,-100.9383,12,3,2021,2021-03,Day
130,Houston,2022-10-28,07:39,Medium,Clear,Dry,1,30.5963,-91.3787,7,10,2022,2022-10,Day
131,Chicago,2023-12-10,06:55,Low,Clear,Dry,5,39.5642,-94.4085,6,12,2023,2023-12,Day
132,Chicago,2022-02-02,21:22,High,Rain,Dry,1,28.3682,-111.7419,21,2,2022,2022-02,Night
133,New York,2021-11-10,18:41,High,Rain,Dry,5,42.4772,-98.6569,18,11,2021,2021-11,Night
134,Chicago,2022-10-24,20:40,Medium,Rain,Wet,3,38.6027,-103.699,20,10,2022,2022-10,Night
135,New York,2021-06-01,10:28,Low,Clear,Wet,1,39.1452,-95.6325,10,6,2021,2021-06,Day
136,Dallas,2023-08-06,15:50,Low,Cloudy,Wet,2,32.3951,-97.2673,15,8,2023,2023-08,Day
137,New York,2021-11-05,22:28,High,Clear,Wet,5,39.8609,-119.9646,22,11,2021,2021-11,Night
138,Phoenix,2023-06-16,23:33,Low,Clear,Dry,4,42.8127,-86.6973,23,6,2023,2023-06,Night
139,Chicago,2021-04-18,19:41,Low,Rain,Dry,3,41.6459,-87.8587,19,4,2021,2021-04,Night
140,San Diego,2021-11-04,11:37,High,Clear,Wet,4,27.9659,-85.1406,11,11,2021,2021-11,Day
141,San Diego,2021-06-23,10:24,Low,Clear,Wet,5,27.1494,-87.1363,10,6,2021,2021-06,Day
142,Chicago,2023-11-08,11:23,High,Clear,Icy,2,30.2105,-114.8466,11,11,2023,2023-11,Day
143,New York,2021-06-08,10:50,Medium,Snow,Slippery,1,40.2244,-76.4276,10,6,2021,2021-06,Day
144,Los Angeles,2021-09-26,16:09,High,Fog,Icy,2,41.5872,-119.728,16,9,2021,2021-09,Day
145,Indianapolis,2023-01-17,17:15,Medium,Fog,Icy,2,37.2823,-105.9077,17,1,2023,2023-01,Day
146,Chicago,2023-08-19,21:12,High,Windy,Dry,3,42.8969,-95.8489,21,8,2023,2023-08,Night
147,Los Angeles,2023-05-08,22:52,Medium,Snow,Dry,4,45.1047,-93.1639,22,5,2023,2023-05,Night
148,Jacksonville,2021-07-30,18:33,Low,Fog,Dry,5,28.389,-99.2514,18,7,2021,2021-07,Night
149,Chicago,2022-03-31,19:56,Low,Clear,Wet,2,33.8818,-117.7565,19,3,2022,2022-03,Night
150,New York,2022-04-05,02:59,Medium,Clear,Dry,1,31.5982,-78.8524,2,4,2022,2022-04,Night
151,Houston,2021-10-12,18:30,Low,Clear,Dry,2,37.6225,-84.1838,18,10,2021,2021-10,Night
152,Los Angeles,2023-12-17,12:49,Low,Clear,Dry,5,35.5136,-116.2354,12,12,2023,2023-12,Day
153,San Diego,2023-10-21,16:01,Medium,Fog,Dry,1,39.1406,-109.4907,16,10,2023,2023-10,Day
154,New York,2023-05-04,08:42,High,Clear,Wet,5,43.0875,-95.6036,8,5,2023,2023-05,Day
155,New York,2021-02-11,12:30,Low,Clear,Wet,3,43.136,-104.0703,12,2,2021,2021-02,Day
156,San Jose,2021-08-01,18:47,Low,Clear,Dry,2,44.0988,-86.3965,18,8,2021,2021-08,Night
157,New York,2023-09-08,16:51,Medium,Cloudy,Dry,2,26.0075,-111.6276,16,9,2023,2023-09,Day
158,Phoenix,2021-03-27,10:19,High,Rain,Dry,2,31.5806,-77.1688,10,3,2021,2021-03,Day
159,Los Angeles,2021-04-08,20:21,Medium,Clear,Dry,4,45.5767,-101.8945,20,4,2021,2021-04,Night
160,Chicago,2022-01-18,13:31,Medium,Clear,Dry,4,26.8153,-90.6724,13,1,2022,2022-01,Day
161,New York,2022-01-05,15:20,Low,Clear,Dry,4,28.8328,-98.9168,15,1,2022,2022-01,Day
162,Charlotte,2023-07-05,03:55,Medium,Clear,Wet,1,26.7259,-88.8493,3,7,2023,2023-07,Night
163,San Diego,2023-01-15,14:47,High,Clear,Wet,4,25.8004,-118.5039,14,1,2023,2023-01,Day
164,New York,2023-01-21,11:36,Low,Clear,Dry,4,42.5509,-92.1561,11,1,2023,2023-01,Day
165,San Diego,2023-12-21,11:20,Low,Clear,Wet,4,36.9081,-74.4958,11,12,2023,2023-12,Day
166,Dallas,2021-08-30,09:16,Low,Rain,Wet,4,29.6041,-114.9421,9,8,2021,2021-08,Day
167,Dallas,2021-06-01,13:57,High,Snow,Under Construction,3,40.3603,-85.1039,13,6,2021,2021-06,Day
168,Los Angeles,2022-08-18,20:54,Medium,Fog,Dry,3,36.7014,-115.6892,20,8,2022,2022-08,Night
169,Austin,2022-02-16,19:15,Low,Rain,Dry,5,27.9847,-76.0192,19,2,2022,2022-02,Night
170,Dallas,2021-05-15,10:45,Medium,Fog,Icy,1,27.8825,-105.5146,10,5,2021,2021-05,Day
171,Phoenix,2021-06-01,13:43,Low,Snow,Wet,5,29.1852,-71.7542,13,6,2021,2021-06,Day
172,New York,2023-06-06,14:55,Low,Clear,Dry,3,46.499,-110.2755,14,6,2023,2023-06,Day
173,New York,2023-11-29,20:54,Low,Hail,Dry,3,39.1319,-117.1417,20,11,2023,2023-11,Night
174,Los Angeles,2021-12-12,16:37,Medium,Fog,Wet,5,25.9475,-77.0834,16,12,2021,2021-12,Day
175,San Jose,2021-06-16,04:41,Low,Clear,Wet,5,39.6968,-96.102,4,6,2021,2021-06,Night
176,Phoenix,2022-08-17,17:19,High,Rain,Dry,1,40.8381,-113.7798,17,8,2022,2022-08,Day
177,Chicago,2023-05-02,13:13,Low,Snow,Dry,3,47.4336,-115.2002,13,5,2023,2023-05,Day
178,Chicago,2023-01-29,14:06,Medium,Clear,Dry,1,26.1639,-72.84,14,1,2023,2023-01,Day
179,Columbus,2023-05-07,09:55,High,Cloudy,Wet,2,42.5518,-96.0902,9,5,2023,2023-05,Day
180,Chicago,2023-11-21,13:56,Low,Cloudy,Wet,2,29.9483,-103.6495,13,11,2023,2023-11,Day
181,Columbus,2021-04-14,09:38,Medium,Rain,Wet,1,34.9113,-76.1123,9,4,2021,2021-04,Day
182,New York,2023-01-20,18:23,Low,Rain,Dry,3,26.6912,-95.7787,18,1,2023,2023-01,Night
183,Dallas,2022-07-27,19:39,Low,Hail,Dry,3,37.8301,-102.9885,19,7,2022,2022-07,Night
184,Houston,2021-10-23,08:32,Low,Clear,Wet,4,36.9447,-114.2551,8,10,2021,2021-10,Day
185,San Antonio,2023-11-22,07:59,Low,Windy,Wet,3,38.6557,-95.6196,7,11,2023,2023-11,Day
186,Philadelphia,2023-11-10,14:45,Medium,Clear,Dry,1,47.5377,-91.6475,14,11,2023,2023-11,Day
187,Indianapolis,2021-02-24,16:16,Medium,Fog,Wet,1,38.421,-113.1334,16,2,2021,2021-02,Day
188,Los Angeles,2023-02-18,07:43,Medium,Fog,Dry,4,32.2149,-114.1256,7,2,2023,2023-02,Day
189,San Antonio,2022-02-22,12:49,Medium,Snow,Wet,2,36.9297,-92.8339,12,2,2022,2022-02,Day
190,Indianapolis,2023-09-07,14:20,Medium,Rain,Wet,3,39.0318,-112.0023,14,9,2023,2023-09,Day
191,Los Angeles,2022-05-20,09:19,High,Clear,Dry,2,40.8755,-96.5718,9,5,2022,2022-05,Day
192,Charlotte,2023-09-10,11:59,Medium,Clear,Wet,5,33.733,-71.0317,11,9,2023,2023-09,Day
193,New York,2022-12-08,22:51,Low,Hail,Dry,4,40.0874,-83.1384,22,12,2022,2022-12,Night
194,Los Angeles,2022-03-15,08:34,Medium,Clear,Dry,5,30.5035,-119.3602,8,3,2022,2022-03,Day
195,New York,2023-12-24,08:14,Medium,Fog,Dry,2,25.1192,-93.3817,8,12,2023,2023-12,Day
196,Columbus,2021-11-20,12:59,Medium,Rain,Icy,3,32.3869,-88.4133,12,11,2021,2021-11,Day
197,Philadelphia,2021-07-03,17:14,Medium,Cloudy,Slippery,2,34.6114,-78.4445,17,7,2021,2021-07,Day
198,San Jose,2021-03-16,23:25,Low,Fog,Slippery,3,45.1651,-121.5181,23,3,2021,2021-03,Night
199,Los Angeles,2021-08-08,21:21,High,Rain,Dry,2,44.5744,-97.6629,21,8,2021,2021-08,Night
200,Los Angeles,2022-01-30,19:21,Medium,Clear,Dry,3,43.1877,-92.4754,19,1,2022,2022-01,Night
201,San Diego,2022-01-31,07:54,Medium,Clear,Dry,4,40.3929,-112.3914,7,1,2022,2022-01,Day
202,Los Angeles,2021-10-15,13:59,Low,Clear,Icy,3,31.9448,-84.4101,13,10,2021,2021-10,Day
203,Dallas,2021-01-24,09:23,Low,Clear,Dry,4,40.7797,-73.9985,9,1,2021,2021-01,Day
204,Charlotte,2022-09-29,17:40,Low,Rain,Dry,2,35.9982,-98.3411,17,9,2022,2022-09,Day
205,Charlotte,2023-02-05,12:35,Medium,Snow,Icy,2,40.6479,-91.0176,12,2,2023,2023-02,Day
206,Dallas,2021-06-17,14:33,Low,Rain,Dry,5,45.7664,-111.4878,14,6,2021,2021-06,Day
207,Phoenix,2021-11-03,07:54,Low,Clear,Wet,1,45.6745,-98.8349,7,11,2021,2021-11,Day
208,Houston,2021-04-24,13:32,Medium,Rain,Wet,3,41.6354,-101.4107,13,4,2021,2021-04,Day
209,New York,2021-01-07,18:37,Medium,Fog,Wet,1,46.4954,-118.411,18,1,2021,2021-01,Night
210,Los Angeles,2023-08-25,02:26,Low,Rain,Wet,4,33.6126,-75.6507,2,8,2023,2023-08,Night
211,Chicago,2023-07-08,20:58,Low,Hail,Slippery,2,40.0313,-103.916,20,7,2023,2023-07,Night
212,Phoenix,2022-01-01,23:25,Medium,Clear,Dry,1,47.5053,-97.9238,23,1,2022,2022-01,Night
213,Los Angeles,2023-05-19,14:52,Medium,Clear,Dry,1,25.741,-87.6697,14,5,2023,2023-05,Day
214,New York,2021-02-02,09:04,Low,Rain,Wet,1,30.6289,-119.6997,9,2,2021,2021-02,Day
215,San Jose,2023-06-18,08:13,Medium,Clear,Under Construction,2,43.7631,-83.9611,8,6,2023,2023-06,Day
216,San Diego,2022-10-16,15:49,Low,Clear,Dry,5,30.084,-106.374,15,10,2022,2022-10,Day
217,Columbus,2021-05-05,15:37,High,Rain,Dry,4,26.0783,-104.0904,15,5,2021,2021-05,Day
218,Dallas,2023-02-20,19:20,Medium,Clear,Dry,5,35.8909,-77.8343,19,2,2023,2023-02,Night
219,Austin,2022-09-08,20:09,High,Rain,Under Construction,5,37.1898,-101.8022,20,9,2022,2022-09,Night
220,New York,2022-06-07,08:41,Medium,Clear,Wet,2,26.1853,-102.3873,8,6,2022,2022-06,Day
221,Austin,2021-03-22,20:12,Medium,Rain,Dry,2,44.9979,-104.6859,20,3,2021,2021-03,Night
222,Indianapolis,2021-02-01,08:12,Low,Windy,Dry,2,40.9994,-85.404,8,2,2021,2021-02,Day
223,Chicago,2023-03-24,21:35,Low,Rain,Wet,3,31.0159,-95.3335,21,3,2023,2023-03,Night
224,Indianapolis,2023-10-16,13:51,Medium,Snow,Slippery,3,32.1972,-119.6228,13,10,2023,2023-10,Day
225,Los Angeles,2022-03-30,18:01,High,Rain,Dry,2,29.5124,-110.039,18,3,2022,2022-03,Night
226,Charlotte,2022-05-19,13:41,Low,Fog,Dry,4,35.5991,-83.8958,13,5,2022,2022-05,Day
227,Philadelphia,2022-12-23,07:46,Low,Cloudy,Under Construction,1,37.0507,-78.3684,7,12,2022,2022-12,Day
228,New York,2021-06-02,21:42,Low,Clear,Wet,1,41.2649,-121.5246,21,6,2021,2021-06,Night
229,San Antonio,2023-11-02,13:03,Medium,Rain,Dry,4,25.3618,-94.325,13,11,2023,2023-11,Day
230,Dallas,2023-04-23,01:33,Medium,Clear,Wet,4,43.5419,-74.6918,1,4,2023,2023-04,Night
231,New York,2021-08-08,21:33,Low,Rain,Icy,3,43.2835,-117.891,21,8,2021,2021-08,Night
232,Indianapolis,2023-04-12,13:15,Low,Rain,Icy,1,27.1505,-102.2783,13,4,2023,2023-04,Day
233,Dallas,2023-09-02,05:00,Low,Snow,Wet,3,38.0147,-77.3861,5,9,2023,2023-09,Night
234,New York,2021-07-15,20:58,Low,Snow,Slippery,4,31.2352,-73.9437,20,7,2021,2021-07,Night
235,San Diego,2022-07-29,20:36,Low,Snow,Dry,2,38.5018,-82.8828,20,7,2022,2022-07,Night
236,Los Angeles,2023-03-27,21:19,Low,Snow,Dry,5,32.6298,-82.7083,21,3,2023,2023-03,Night
237,Dallas,2021-10-14,19:44,Medium,Hail,Dry,4,30.3393,-118.0471,19,10,2021,2021-10,Night
238,New York,2023-03-24,22:20,Low,Windy,Dry,3,37.7199,-102.4778,22,3,2023,2023-03,Night
239,Chicago,2022-01-16,17:42,Medium,Clear,Dry,1,26.8869,-113.9805,17,1,2022,2022-01,Day
240,Chicago,2021-11-12,18:20,Low,Cloudy,Dry,3,27.3513,-117.4605,18,11,2021,2021-11,Night
241,Phoenix,2023-06-02,13:35,Low,Clear,Wet,5,38.755,-105.1296,13,6,2023,2023-06,Day
